"recipe","mix","temp","y"
"1","1","175","42"
"1","1","185","46"
"1","1","195","47"
"1","1","205","39"
"1","1","215","53"
"1","1","225","42"
"1","2","175","47"
"1","2","185","29"
"1","2","195","35"
"1","2","205","47"
"1","2","215","57"
"1","2","225","45"
"1","3","175","32"
"1","3","185","32"
"1","3","195","37"
"1","3","205","43"
"1","3","215","45"
"1","3","225","45"
"1","4","175","26"
"1","4","185","32"
"1","4","195","35"
"1","4","205","24"
"1","4","215","39"
"1","4","225","26"
"1","5","175","28"
"1","5","185","30"
"1","5","195","31"
"1","5","205","37"
"1","5","215","41"
"1","5","225","47"
"1","6","175","24"
"1","6","185","22"
"1","6","195","22"
"1","6","205","29"
"1","6","215","35"
"1","6","225","26"
"1","7","175","26"
"1","7","185","23"
"1","7","195","25"
"1","7","205","27"
"1","7","215","33"
"1","7","225","35"
"1","8","175","24"
"1","8","185","33"
"1","8","195","23"
"1","8","205","32"
"1","8","215","31"
"1","8","225","34"
"1","9","175","24"
"1","9","185","27"
"1","9","195","28"
"1","9","205","33"
"1","9","215","34"
"1","9","225","23"
"1","10","175","24"
"1","10","185","33"
"1","10","195","27"
"1","10","205","31"
"1","10","215","30"
"1","10","225","33"
"1","11","175","33"
"1","11","185","39"
"1","11","195","33"
"1","11","205","28"
"1","11","215","33"
"1","11","225","30"
"1","12","175","28"
"1","12","185","31"
"1","12","195","27"
"1","12","205","39"
"1","12","215","35"
"1","12","225","43"
"1","13","175","29"
"1","13","185","28"
"1","13","195","31"
"1","13","205","29"
"1","13","215","37"
"1","13","225","33"
"1","14","175","24"
"1","14","185","40"
"1","14","195","29"
"1","14","205","40"
"1","14","215","40"
"1","14","225","31"
"1","15","175","26"
"1","15","185","28"
"1","15","195","32"
"1","15","205","25"
"1","15","215","37"
"1","15","225","33"
"2","1","175","39"
"2","1","185","46"
"2","1","195","51"
"2","1","205","49"
"2","1","215","55"
"2","1","225","42"
"2","2","175","35"
"2","2","185","46"
"2","2","195","47"
"2","2","205","39"
"2","2","215","52"
"2","2","225","61"
"2","3","175","34"
"2","3","185","30"
"2","3","195","42"
"2","3","205","35"
"2","3","215","42"
"2","3","225","35"
"2","4","175","25"
"2","4","185","26"
"2","4","195","28"
"2","4","205","46"
"2","4","215","37"
"2","4","225","37"
"2","5","175","31"
"2","5","185","30"
"2","5","195","29"
"2","5","205","35"
"2","5","215","40"
"2","5","225","36"
"2","6","175","24"
"2","6","185","29"
"2","6","195","29"
"2","6","205","29"
"2","6","215","24"
"2","6","225","35"
"2","7","175","22"
"2","7","185","25"
"2","7","195","26"
"2","7","205","26"
"2","7","215","29"
"2","7","225","36"
"2","8","175","26"
"2","8","185","23"
"2","8","195","24"
"2","8","205","31"
"2","8","215","27"
"2","8","225","37"
"2","9","175","27"
"2","9","185","26"
"2","9","195","32"
"2","9","205","28"
"2","9","215","32"
"2","9","225","33"
"2","10","175","21"
"2","10","185","24"
"2","10","195","24"
"2","10","205","27"
"2","10","215","37"
"2","10","225","30"
"2","11","175","20"
"2","11","185","27"
"2","11","195","33"
"2","11","205","31"
"2","11","215","28"
"2","11","225","33"
"2","12","175","23"
"2","12","185","28"
"2","12","195","31"
"2","12","205","34"
"2","12","215","31"
"2","12","225","29"
"2","13","175","32"
"2","13","185","35"
"2","13","195","30"
"2","13","205","27"
"2","13","215","35"
"2","13","225","30"
"2","14","175","23"
"2","14","185","25"
"2","14","195","22"
"2","14","205","19"
"2","14","215","21"
"2","14","225","35"
"2","15","175","21"
"2","15","185","21"
"2","15","195","28"
"2","15","205","26"
"2","15","215","27"
"2","15","225","20"
"3","1","175","46"
"3","1","185","44"
"3","1","195","45"
"3","1","205","46"
"3","1","215","48"
"3","1","225","63"
"3","2","175","43"
"3","2","185","43"
"3","2","195","43"
"3","2","205","46"
"3","2","215","47"
"3","2","225","58"
"3","3","175","33"
"3","3","185","24"
"3","3","195","40"
"3","3","205","37"
"3","3","215","41"
"3","3","225","38"
"3","4","175","38"
"3","4","185","41"
"3","4","195","38"
"3","4","205","30"
"3","4","215","36"
"3","4","225","35"
"3","5","175","21"
"3","5","185","25"
"3","5","195","31"
"3","5","205","35"
"3","5","215","33"
"3","5","225","23"
"3","6","175","24"
"3","6","185","33"
"3","6","195","30"
"3","6","205","30"
"3","6","215","37"
"3","6","225","35"
"3","7","175","20"
"3","7","185","21"
"3","7","195","31"
"3","7","205","24"
"3","7","215","30"
"3","7","225","33"
"3","8","175","24"
"3","8","185","23"
"3","8","195","21"
"3","8","205","24"
"3","8","215","21"
"3","8","225","35"
"3","9","175","24"
"3","9","185","18"
"3","9","195","21"
"3","9","205","26"
"3","9","215","28"
"3","9","225","28"
"3","10","175","26"
"3","10","185","28"
"3","10","195","27"
"3","10","205","27"
"3","10","215","35"
"3","10","225","35"
"3","11","175","28"
"3","11","185","25"
"3","11","195","26"
"3","11","205","25"
"3","11","215","38"
"3","11","225","28"
"3","12","175","24"
"3","12","185","30"
"3","12","195","28"
"3","12","205","35"
"3","12","215","33"
"3","12","225","28"
"3","13","175","28"
"3","13","185","29"
"3","13","195","43"
"3","13","205","28"
"3","13","215","33"
"3","13","225","37"
"3","14","175","19"
"3","14","185","22"
"3","14","195","27"
"3","14","205","25"
"3","14","215","25"
"3","14","225","35"
"3","15","175","21"
"3","15","185","28"
"3","15","195","25"
"3","15","205","25"
"3","15","215","31"
"3","15","225","25"
